YEAR,ORIGIN,SPOUSE,WEIGHTED_COUNT,UNWEIGHTED_COUNT,TOTAL_BY_ORIGIN,PERCENTAGE
1930,France,Mexico,706.77,35,26885.57,2.63
1930,France,Puerto Rico,586.22,29,26885.57,2.18
1930,France,US-Born,5271.86,261,26885.57,19.61
1930,Germany,Austria,1029.86,51,134073.62,0.77
1930,Germany,Austria-Hungary (ns),845.71,42,134073.62,0.63
1930,Germany,Canada,1921.04,95,134073.62,1.43
1930,Germany,Channel Islands,461.34,23,134073.62,0.34
1930,Germany,Code 414,1013.22,50,134073.62,0.76
1930,Germany,France,442.39,22,134073.62,0.33
1930,Germany,Germany,67100.82,3322,134073.62,50.05
1930,Germany,Iceland,4027.42,199,134073.62,3.0
1930,Germany,Ireland,1554.52,77,134073.62,1.16
1930,Germany,Poland,6826.68,338,134073.62,5.09
1930,Germany,Romania,548.12,27,134073.62,0.41
1930,Germany,Spain,767.04,38,134073.62,0.57
1930,Germany,Switzerland,1940.01,96,134073.62,1.45
1930,Germany,US-Born,45093.58,2233,134073.62,33.63
1930,Germany,United Kingdom (ns),501.87,25,134073.62,0.37
1930,Hungary,Hungary,1736.3,86,3088.8599999999997,56.21
1930,Hungary,US-Born,1352.56,67,3088.8599999999997,43.79
1930,Iceland,Austria-Hungary (ns),1560.57,77,1318788.86,0.12
1930,Iceland,Bulgaria,626.06,31,1318788.86,0.05
1930,Iceland,Canada,1071.4,53,1318788.86,0.08
1930,Iceland,Code 414,1252.82,62,1318788.86,0.09
1930,Iceland,Czechoslovakia,746.89,37,1318788.86,0.06
1930,Iceland,Finland,666.43,33,1318788.86,0.05
1930,Iceland,France,689.27,34,1318788.86,0.05
1930,Iceland,Germany,4027.42,199,1318788.86,0.31
1930,Iceland,Iceland,1112634.68,55002,1318788.86,84.37
1930,Iceland,Ireland,1586.04,78,1318788.86,0.12
1930,Iceland,Mexico,465.26,23,1318788.86,0.04
1930,Iceland,Netherlands,462.96,23,1318788.86,0.04
1930,Iceland,Poland,2298.88,114,1318788.86,0.17
1930,Iceland,Romania,1133.74,56,1318788.86,0.09
1930,Iceland,South America (ns),2786.19,138,1318788.86,0.21
1930,Iceland,Spain,766.73,38,1318788.86,0.06
1930,Iceland,Switzerland,1125.53,56,1318788.86,0.09
1930,Iceland,US-Born,183131.05,9059,1318788.86,13.89
1930,Iceland,United Kingdom (ns),401.35,20,1318788.86,0.03
1930,Iceland,Yugoslavia,1355.59,67,1318788.86,0.1
1930,India,US-Born,1428.3,71,1428.3,100.0
1930,Ireland,Australia,766.64,38,514261.42,0.15
1930,Ireland,Austria,585.06,29,514261.42,0.11
1930,Ireland,Austria-Hungary (ns),1351.99,67,514261.42,0.26
1930,Ireland,Born abroad (US parents),770.3,38,514261.42,0.15
1930,Ireland,Canada,19422.09,961,514261.42,3.78
1930,Ireland,Channel Islands,14063.2,696,514261.42,2.73
1930,Ireland,Code 414,14887.38,737,514261.42,2.89
1930,Ireland,Czechoslovakia,403.12,20,514261.42,0.08
1930,Ireland,England,911.94,45,514261.42,0.18
1930,Ireland,Germany,1554.52,77,514261.42,0.3
1930,Ireland,Iceland,1586.04,78,514261.42,0.31
1930,Ireland,Ireland,206316.22,10198,514261.42,40.12
1930,Ireland,Isle of Man,3722.49,185,514261.42,0.72
1930,Ireland,Italy,504.0,25,514261.42,0.1
1930,Ireland,Northern Ireland,1008.67,50,514261.42,0.2
1930,Ireland,Poland,6166.83,305,514261.42,1.2
1930,Ireland,Romania,2259.88,112,514261.42,0.44
1930,Ireland,Spain,6116.93,303,514261.42,1.19
1930,Ireland,Switzerland,729.51,36,514261.42,0.14
1930,Ireland,US-Born,228811.82,11330,514261.42,44.49
1930,Ireland,United Kingdom (ns),2322.79,115,514261.42,0.45
1930,Isle of Man,Canada,547.27,27,37544.79,1.46
1930,Isle of Man,Channel Islands,708.73,35,37544.79,1.89
1930,Isle of Man,Code 414,465.44,23,37544.79,1.24
1930,Isle of Man,Ireland,3722.49,185,37544.79,9.91
1930,Isle of Man,Isle of Man,13899.44,690,37544.79,37.02
