STATEFIP,STATE_NAME,ORIGIN_GROUP,TOTAL_2NDGEN_IN_STATE,GROUP_COUNT_IN_STATE,GROUP_SHARE_PCT,OUTMARRIAGE_RATE,THIRD_GEN_RATE,HERITAGE_RATE,WEIGHTED_N,UNWEIGHTED_N
42,Pennsylvania,Sweden,1475311.08,17908.11,1.21,66.72,43.35,33.28,17908.11,585
42,Pennsylvania,Switzerland,1475311.08,8413.15,0.57,89.26,49.51,10.74,8413.15,283
42,Pennsylvania,Wales,1475311.08,54067.399999999994,3.66,64.65,36.9,35.35,54067.399999999994,1859
44,Rhode Island,Canada,142945.83,35449.92,24.8,29.04,13.66,70.96,35449.92,1129
44,Rhode Island,England,142945.83,19858.33,13.89,67.49,42.0,32.51,19858.33,685
44,Rhode Island,Germany,142945.83,6142.820000000001,4.3,75.99,27.35,24.01,6142.820000000001,202
44,Rhode Island,Ireland,142945.83,54849.84,38.37,37.42,16.68,62.58,54849.84,1858
44,Rhode Island,Italy,142945.83,8438.68,5.9,13.73,3.63,86.27,8438.68,304
44,Rhode Island,Scotland,142945.83,5073.390000000001,3.55,82.23,33.93,17.77,5073.390000000001,168
46,South Dakota,Canada,185929.44,7266.17,3.91,79.56,55.93,20.44,7266.17,212
46,South Dakota,Czechoslovakia,185929.44,5905.620000000001,3.18,34.79,17.81,65.21,5905.620000000001,198
46,South Dakota,Denmark,185929.44,7965.349999999999,4.28,56.12,29.46,43.88,7965.349999999999,248
46,South Dakota,England,185929.44,8622.03,4.64,75.67,50.06,24.33,8622.03,275
46,South Dakota,Germany,185929.44,59742.7,32.13,45.78,24.27,54.22,59742.7,1777
46,South Dakota,Ireland,185929.44,17612.23,9.47,54.49,30.79,45.51,17612.23,486
46,South Dakota,Norway,185929.44,35139.62,18.9,36.63,20.43,63.37,35139.62,1054
46,South Dakota,Russia/USSR,185929.44,19963.98,10.74,12.32,5.23,87.68,19963.98,633
46,South Dakota,Sweden,185929.44,9451.74,5.08,61.28,29.95,38.72,9451.74,303
47,Tennessee,Germany,34336.22,12958.52,37.74,63.19,47.85,36.81,12958.52,439
47,Tennessee,Ireland,34336.22,8953.65,26.08,52.6,40.23,47.4,8953.65,365
48,Texas,Austria,342806.86,9282.46,2.71,27.25,13.14,72.75,9282.46,200
48,Texas,Czechoslovakia,342806.86,20094.4,5.86,18.51,10.18,81.49,20094.4,727
48,Texas,England,342806.86,11735.329999999998,3.42,92.92,75.21,7.08,11735.329999999998,371
48,Texas,France,342806.86,5321.55,1.55,87.97,48.47,12.03,5321.55,169
48,Texas,Germany,342806.86,151913.19,44.31,35.73,26.64,64.27,151913.19,4961
48,Texas,Ireland,342806.86,17901.63,5.22,79.59,58.05,20.41,17901.63,660
48,Texas,Italy,342806.86,5058.639999999999,1.48,25.96,15.12,74.04,5058.639999999999,167
48,Texas,Mexico,342806.86,86744.29000000001,25.3,12.49,11.41,87.51,86744.29000000001,3228
48,Texas,Poland,342806.86,6763.33,1.97,35.95,8.37,64.05,6763.33,205
48,Texas,Sweden,342806.86,6327.200000000001,1.85,43.76,26.84,56.24,6327.200000000001,198
49,Utah,Denmark,110151.40000000001,19292.25,17.51,67.55,29.0,32.45,19292.25,561
49,Utah,England,110151.40000000001,52860.53,47.99,53.72,27.75,46.28,52860.53,1631
49,Utah,Germany,110151.40000000001,5785.08,5.25,77.55,40.83,22.45,5785.08,152
49,Utah,Scotland,110151.40000000001,8002.97,7.27,84.63,23.83,15.37,8002.97,220
49,Utah,Sweden,110151.40000000001,6824.6900000000005,6.2,85.09,31.16,14.91,6824.6900000000005,215
